en;score;reason;EU Party
Migrants will not be entitled to receive any outstanding wages before they are deported, nor will they be allowed to wait for their pay in the European Union.;0.7;Explicitly states that migrants should not receive outstanding wages before deportation, reflecting a clear anti‑immigration policy position.;PES
In addition, this has nothing at all to do with the European Union.;0.1;"Only a generic statement denying EU relevance; no political principle or ideology is expressed.";EPP-ED
The ETS auctions will begin in 2015 and the renewable energy programmes have started. Energy supply must not be a source of political blackmail.;0.5;Advocates that energy supply must not be used as political blackmail, a principle about keeping energy policy free from political coercion.;EPP-ED
Yet, let us remember that 12 times a year we move this House from Brussels to Strasbourg, not to mention the extra buildings that we have in Luxembourg.;0.4;Criticises the EU’s institutional logistics (multiple seats), implying a stance on EU efficiency but without a concrete policy prescription.;EPP-ED
Since 9/11 there has not been one single act of terrorism on the United States mainland.;0.0;"Presents a factual claim about terrorism; no ideological or policy content.";EPP-ED
We devoted three hours of heated debate yesterday to the question of where to put the prisoners and those whose crimes have not been proven.;0.3;"Mentions debate on prison placement; the statement is procedural and does not articulate a clear political principle.";EPP-ED
It is about time we listened to them, just as the European political élite should listen to the voters when, in referendum after referendum, they have rejected the Lisbon Treaty.;0.85;Calls for politicians to heed voters who have repeatedly rejected the Lisbon Treaty, expressing a strong democratic‑sovereignty and Eurosceptic position.;EPP-ED
Today in the EU, the heating of buildings accounts for the highest amount of energy used and the most CO emitted – about 40% of all CO emitted. I believe it is necessary to increase aid from the Structural Funds by up to 15% (currently 3%) for dwelling renovation.;0.8;Proposes a substantial increase in EU Structural Funds for building renovation to cut emissions, a clear policy stance on climate action and EU spending.;ALDE
We believe that the report offers a significant contribution to the debate, which will lead to an effective international agreement on climate change in Copenhagen in 2009. We support in particular the aim of ambitious medium and long-term emission reduction targets, the promotion of renewable energy and increased energy efficiency, and the call for a sustainable approach to forestry, rainforests and deforestation. We also believe that a low-carbon economy will trigger greater innovation, which will create new and competitive businesses and new jobs in the fields of clean technology, renewable energies and green enterprises. However, we cannot support the concept that the European Security Strategy and the European Security and Defence Policy have a role to play in tackling the effects of climate change. We also strongly oppose references to the Lisbon Treaty, in particular those which suggest that the competences of the European Union in the field of climate change are not already sufficient. We believe that the EU has all the powers that it needs to help the peoples of Europe work together to succeed and lead by example on climate change.;0.9;"Strongly supports ambitious EU climate targets, renewable energy, and EU competence while rejecting security‑policy involvement and Lisbon‑Treaty references; a comprehensive pro‑EU climate ideology.";EPP-ED
This report calls on the Commission to monitor closely and analyse the very latest scientific research findings in order to assess in particular whether the EU’s 2ºC target would really achieve the aim of preventing dangerous climate change effects.;0.6;Urges the European Commission to base the 2 °C target assessment on the latest scientific research, advocating evidence‑based climate policy.;EPP-ED
The rights to life, security, health, education and environmental protection are fundamental and it is our duty to safeguard them for the generations to come.;0.1;"Only states generic fundamental rights without prescribing how society or the EU should be organized; no clear political principle.";EPP-ED
This is why the EU needs to join forces with its strategic partners in making every effort to reduce its current dependency on fossil fuels and increase significantly the proportion of renewable energy used. With the appropriate investments, the European economy’s energy efficiency must grow, while polluting greenhouse gases must be cut by more than 25% in the next 12 years. The European Year of Creativity and Innovation can be a major benchmark in this respect, highlighting the fundamental importance of investments in scientific research and new technologies.;0.75;Advocates EU‑wide policy to cut fossil‑fuel dependence, increase renewables and set quantitative emission targets – a clear stance on energy and climate regulation.;EPP-ED
Energy, water, forests, waste and agricultural production are being privatised and concentrated in the hands of a few multinationals, now in the name of the environment. EU agreements with third countries demand the liberalisation of markets and public services in all these sectors.;0.8;Explicitly opposes privatization and market liberalisation of essential services, signalling a firm anti‑market, pro‑public‑sector ideological position.;NGL
I was recently asked at a public meeting in Cheltenham in my constituency what I thought was the most important thing that could be done to combat global warming and climate change. Without a strong powerful EU with competence in Common Foreign and Security Policy I do not believe we will get the US and Japan, China and India, to take the necessary measures.;0.7;Calls for a stronger, more competent EU in foreign and security policy to achieve global climate action, expressing a clear pro‑EU integration stance.;PES
No budgetary figure has been mentioned for the definitive targeted activities and projects, for public infrastructure or innovative industrial policies, for regional development, for aid to local authorities or for research and development.;0.0;"Merely notes the absence of budget figures; contains no ideological claim or policy recommendation.";PES
However, it not clear whether this is mainly or largely due to human activity or if it is mainly or largely part of a natural process. Yet it is precisely this uncertainty that indicates, for example, that we should take the first steps towards slowing down our carbon dioxide emissions into the atmosphere. That explains why, on a previous occasion, I voted in favour of the proposal to reduce these by 20% by 2020. The European Parliament’s Temporary Committee on Climate Change has now submitted a report on how the EU should act in connection with climate change.;0.6;Supports concrete CO₂ reduction targets and cites a vote for climate legislation, indicating a definite pro‑climate‑action position.;DEM
The more than 150 recommendations included in this report cover most of the areas where improvements can be made to achieve the European objective of reducing the rise in temperature to 2ºC. The European Economic Recovery Plan supports the battle against global warming not only by allocating funds for the development of innovative technology, but also by using ways which will boost energy efficiency. Investment in research and innovation will enable the development of clean technologies in response to the challenges posed by climate change. I feel that the measures being proposed are achievable and can be implemented in the medium and long term.;0.5;Describes existing recovery‑plan measures and expresses confidence they are achievable, but does not actively advocate new policy beyond endorsement.;EPP-ED
Today’s report from Mr Florenz is based on scientific principles and maps out the challenges that face our society in various fields like transport, land-use, energy and waste management. The current economic crisis should not be used as an excuse to row back on our climate commitments. Ireland must remain a nuclear-free island.;0.7;Declares that economic crises should not justify rolling back climate commitments and insists Ireland remain nuclear‑free, showing clear policy preferences.;NGL
I give my full backing to the report and I would like to thank you, Mr Florenz, for a detailed report on the European Union’s future policy on climate change. Through cooperation we will perhaps be able to reduce carbon emissions and slow down the process of global warming in Europe and throughout the world. Global climate change is damaging to our environment, to our current way of life and to the opportunities of future generations.;0.3;"Provides generic backing and thanks; lacks specific policy prescription beyond general cooperation.";EPP-ED
In order to achieve these objectives and adapt to climate change, funds amounting to approximately EUR 175 million per annum must be provided at EU level.;0.7;Specifies a required EU funding level for climate adaptation, directly advocating a financial policy measure.;PES
In spite of the efforts of both the Commission and Parliament, this matter continues to spark controversy. With regard to the recommendations to the Commission on establishing a binding 20% target for improving energy efficiency, it seems that the suspicion that expensive, foreign energy technology is being surreptitiously promoted is not unfounded.;0.2;Mentions controversy over an energy‑efficiency target and foreign technology but does not explicitly advocate a policy principle or prescribe how the EU should act.;UEN
Fines should henceforth include costs of returning workers to their country of origin and payment of arrears (salaries, taxes and social security contributions). Other proposed sanctions range from exclusion from public grants to temporary or permanent closure.;0.7;Calls for fines that cover the cost of returning workers and other sanctions, showing a clear stance for strict enforcement against illegal labor and a specific policy prescription.;ALDE
Bearing in mind the demographic profile of the majority of Member States, we need to keep the labour market borders open, but with the proviso that the flow of workers is legal and suited to the Community’s needs.;0.7;Advocates keeping labour‑market borders open only for legal, need‑based migration, expressing a regulated‑openness principle for EU labour mobility.;EPP-ED
We must put a stop to the employment of illegal immigrants, both in order to protect them from exploitation and to prevent the economy of the country in question from being damaged.;0.8;Explicitly demands a stop to the employment of illegal immigrants to protect them and the economy, a strong anti‑illegal‑immigration position with a clear policy directive.;PES
There are in fact between 4.5 and 8 million illegal immigrants in the European Union working in construction, agriculture, hotels and other sectors.;0.1;Provides a statistical estimate of illegal immigrants without endorsing any policy or ideological stance.;ALDE
This ‘sanctions’ directive fits into the EU’s strategy to combat illegal immigration, which includes the ‘blue card’ promoting selective immigration and the ‘return’ directive.;0.5;Describes the sanctions directive as part of the EU’s strategy against illegal immigration, indicating support for that strategy but without a strongly articulated principle.;ALDE
It supports the just demands of immigrants, their legalisation, the abolition of black and undeclared employment, an increase in wages and salaries, equal pay for an equal day's work and the full safeguarding of social and civil rights.;0.9;Strongly supports immigrant legalisation, abolition of undeclared work, higher wages, equal pay and full civil rights – a comprehensive pro‑immigrant, pro‑social‑justice position.;NGL
These technologies can be the driving forces behind greater productivity, growth and cost reductions that make for competitiveness, sustainable development and the improvement of EU citizens’ quality of life. That is why we agree with the proposal to suggest to forthcoming Council presidencies that they make the topic of ICTs and their importance in combating and adapting to climate change one of their priorities.;0.6;Advocates prioritising ICTs for competitiveness, sustainable development and climate adaptation, reflecting a clear policy preference for tech‑driven green growth.;NGL
Failing to undertake such action could lead to a significant increase in energy demand, as soon as within the next few years (around 25% in the space of four years). Efficiency should be increased by around 40% in the field of energy production and by around 10% in the field of energy distribution.;0.5;Calls for substantial increases in energy‑efficiency targets, indicating a clear policy recommendation on climate/energy but with less explicit ideological framing.;UEN
Energy efficiency is an extremely important topic because we are well aware that the natural reserves from which we obtain our energy are dwindling all the time and will run out at some point.;0.2;States the importance of energy efficiency due to dwindling resources, but does not prescribe a specific political principle or institutional change.;EPP-ED
The crisis which has, in recent weeks, affected many Member States, has clearly shown how real the danger of having our gas supplies cut off is, and how ill-prepared we are to deal with the consequences.;0.1;"Describes an energy‑security crisis without recommending any policy or principle; merely states a problem.";EPP-ED
Given the policy of free movement of people within the EU, the actions of one European country may have repercussions for others at a time when we already face complex terrorist problems.;0.3;Mentions free movement of people and possible security repercussions, but does not explicitly advocate or oppose a concrete principle.;ALDE
As we have emphasised previously, we oppose any agreement between countries or between the United States and the European Union on the transfer of prisoners detained in Guantánamo.;0.7;Clearly opposes any agreement on transferring Guantánamo detainees, expressing a stance on sovereignty and prisoner‑transfer policy.;NGL
This is an important step towards a new beginning in US policy. I am sure that all EU Member States will support such US policies and will answer President Obama's appeal for cooperation, or help in solving the question of released prisoners, if he asks for this. However, I voted against the resolution article, which urges Member States, ‘to be ready to accept Guantánamo prisoners’, as I believe this question should be decided independently by each country in the Community.;0.8;Advocates that decisions on Guantánamo prisoners should be made independently by each EU country, a explicit national‑sovereignty position.;ALDE
Rather than this, the resolution calls for a ‘fair trial’ for anyone the USA considers it has evidence against, calling on the Member States of the EU to accept detainees in their prisons, within the framework of the joint fight against terrorism by the EU and the USA.;0.2;"Summarises a resolution calling for fair trials and EU‑US cooperation; the speaker does not express a personal ideological commitment.";NGL
Rather than just cooperating in possibly accepting former Guantánamo inmates – a measure that may be necessary but must take account of a number of limitations – Europe, the United States and the international community must cooperate in seeking a stable and lasting legal solution to the challenge posed by international terrorist combatants.;0.5;Calls for international cooperation and a legal solution to terrorism, a moderate policy principle without detailed ideological framing.;EPP-ED
Yesterday when we were discussing the Guantánamo prison, here in the Chamber, I and several other speakers were interrupted without mercy when we had exceeded our speaking time by a few seconds.;0.0;"Complains about procedural interruption; no political principle or ideological stance is presented.";DEM
If the rapporteur were only to present the initiative report on Monday evening, he would have four minutes.;0.0;"Notes a procedural timing issue for a rapporteur; lacks any political content.";PES
This resolution calls on the Council and the Commission to ensure that joint action is taken in Kosovo, that EULEX acts together with the High Representative of the EU and that synergies are created in the interest of the economic and social life of Kosovo which is in need of improvement. We must call on the government of Kosovo finally to begin the practical implementation of its constitution, which includes the Martti Ahtisaari plan. The government of Kosovo must also push ahead with its decentralisation programme. They must be allowed to take part in the government, in parliamentary work and in civilian life.;0.8;Advocates specific governance reforms for Kosovo – implementation of the constitution, decentralisation, inclusive political participation – indicating a clear structural principle.;EPP-ED
We are grateful to the Czech Presidency and to the Commission for their good cooperation. It is essential that EULEX cooperates well with the parties concerned in Kosovo. It is very important to clarify the division of competences between the Government and the Parliament of Kosovo, on the one hand, and EULEX, on the other. We cannot take responsibility for the development of Kosovo. The presence of EULEX in the north of Kosovo is very important in order to avoid partition of this territory.;0.6;Supports EULEX’s role and clarifies competence division to avoid Kosovo’s partition, expressing a pro‑EU intervention principle.;PES
The EULEX mission, the largest mission under the common European Security and Defence Policy to date, is already underway. It is gratifying that the mission is supported by the UN and that it covers the whole country. With our resolution, we in the European Parliament are supporting Kosovo in this mission. We also point out the areas in which the EU Member States can assist Kosovo. This relates to special aid for establishing the public administration, strengthening civil society and for educational projects. This is not only about Kosovo’s future, but about the future of the entire Balkans region and of Europe as a whole.;0.7;Advocates EU involvement (EULEX) and aid for Kosovo, framing it as essential for Balkan and European future – a clear pro‑EU integration stance.;ALDE
This must have had an impact on relations between Belgrade and Priština, and certainly also on relations between the people of Kosovo and the Serbs living in ethnic Serb enclaves. We have to strictly adhere to these principles and, in this regard, keep a careful eye on our partners in Kosovo.;0.3;Mentions adhering to principles and monitoring partners but does not specify any concrete political principle or policy direction.;UEN
EULEX, the largest European mission to date – as someone already pointed out – was to develop, and be active all over, Kosovo, both north and south of the river Ibar. The Kosovar police are delighted with the excellent cooperation they are enjoying with EULEX. I also sincerely hope that Belgrade realises that its current approach of constructively working with the European Union is far and away more effective than trying to re-write history all the time. Above all, I hope that the Kosovar authorities manage to solve this huge stack of problems that they still face. Kosovo is an independent state and, whether this Parliament likes it or not, there is no going back.;0.8;Strongly supports Kosovo’s independence and constructive EU cooperation, rejecting Serbian revisionism – a clear pro‑independence, pro‑EU position.;EFA
The majority of the Member States, but not all, have recognised Kosovo in contravention of international law. My group insists that all the regulations concerning Kosovo must be in line with international law and must be agreed with all the parties involved, including Serbia. The EU has launched the EULEX mission in Kosovo. The EULEX mission also includes 500 policemen to combat insurrection. For this reason, we are calling for solutions which are in line with international law and a clear vote against the EU EULEX mission.;0.7;Calls for adherence to international law and votes against the EULEX mission, expressing a principled anti‑EULEX, pro‑sovereignty viewpoint.;NGL
The European institutions should not simply shrug their shoulders. Via the EULEX mission, Europe is responsible for the situation on the ground. EULEX should adopt a more assertive stance and should assist the Kosovar authorities wherever it can, whether this is solicited or not. First of all, I urge the Member States that have not yet recognised Kosovo to reconsider their stance. There is no way back for Kosovo within Serbia’s borders. This is Europe’s commitment with regard to the Western Balkans.;0.6;Urges EU members to recognize Kosovo and pushes for a more assertive EULEX role, reflecting a pro‑Kosovo, pro‑EU integration commitment.;DEM
We support the reform programme in Serbia and we respect, of course, the tiny minority of EU Member States which have not recognised Kosovo under international law. The Commission has also declared itself in favour, together with 23 out of 27 Member States, all the G7 countries, four of the six former Yugoslavian republics and three of Kosovo's four neighbouring countries. Until now the former Yugoslavia has been divided along the borders of the old republics or along the old internal borders of the autonomous regions. If the map is to be redrawn, for example in Mitrovica, the result would be that, for example, the Albanians in the Preševo valley in Serbia, the people in Sandžak of Novi Pazar and others would begin to question where the borders should lie. The Serbs in Kosovo should take this opportunity and make use of this minority protection. The other danger which threatens Kosovo is that of chaos and corruption.;0.6;Defends EULEX as necessary and links regional integration to Kosovo’s peaceful development – a clear pro‑EU integration stance with minority‑rights nuance.;EPP-ED
He exists, but he is not recognised by everyone as a rapporteur, although, in fact, he is one. We must acknowledge that this has been a painful situation for Serbia. I am very pleased that the leaders of Serbia, despite their many harsh words at the beginning, have attempted to legalise and neutralise the situation in order to give the EULEX mission a chance. I would ask everyone who is opposed to the EULEX mission what situation the Serbian and other minorities in the country would be in if the EULEX mission did not exist? It is nonsensical from the standpoint of the Serbian minority or of Serbia to condemn the EULEX mission. I believe that the fact that someone here in Parliament who supports Serbia has condemned the EULEX mission is simply grotesque. However, the more progress which Serbia and Macedonia make in the integration process, the sooner we will be able to resolve the Kosovo question and the other related open questions. Only the integration of all the countries in the region will create the conditions needed by Kosovo for peaceful development.;0.7;Celebrates Kosovo’s independence and EULEX’s success, endorsing continued EU involvement – a definitive pro‑independence, pro‑EU position.;PES
We should, first of all, rejoice at the fact that the first year of Kosovo’s independence turned out quite well in the end, and better than many had feared. I should also like to express my delight and satisfaction at the fact that the EULEX mission finally got fully underway, thanks to the good will of many and the skill within the UN Security Council. A great deal will depend on the success of this EULEX mission, because Kosovo was a protectorate for ten years prior to its independence.;0.6;References UN Resolution 1244 and the Serbian community’s plight, implying support for the UN‑based legal framework – a principled anti‑recognition stance.;ALDE
I would like to remind you that the United Nations did not recognise the decision taken by the Kosovar Albanians. UN Security Council Resolution 1244 remains in force. I would like to draw your attention to the dramatic situation still facing the Serbian community in the self-proclaimed Republic of Kosovo.;0.7;Criticises EULEX as colonial, stresses self‑determination and broader participation, showing a clear anti‑EU‑intervention, pro‑self‑determination ideology.;UEN
Since Kosovo announced its independence nearly a year ago, the European Union has been hopelessly divided on this. Greece is undecided, while Spain, Romania, Slovakia and Cyprus reject this independence for domestic reasons. The joint EULEX project with which the European Union is hoping to gain influence within Kosovo seems more like an instrument to conceal this internal division than anything else. EULEX might be beneficial to the European Union, but could this also be said of Kosovo? The people of Kosovo are keen to join the European Union soon and become an equal Member State. After nearly a century of subjugation by Serbia, they certainly do not want any new interference from outside. A project such as EULEX could perhaps have been useful for a short while, in the first few months of 2008, in order to avoid any chaos. EULEX’s late arrival now very much creates the impression that the European Union would like to turn Kosovo into a protectorate, with a military presence and administrative influence, as was previously the case in Bosnia-Herzegovina, where this policy had little success. To secure a peaceful and harmonious future for Kosovo, it is necessary to involve not only the present government and the governing parties. Important forces are the movement for self-determination Vetëvendosje in the south, who consider the EU’s initiative to be pointless colonialism, and the representatives of the Serbs in the municipalities north of the river Ibar, who do everything they can to maintain a permanent link with Serbia.;0.3;"Mentions division within the EU and general observations without a concrete policy prescription; ideological content is vague.";NGL
Today, the European EULEX mission, in association with US experts, hopes that Kosovo can become a state based on the rule of law. In the meantime, we ask this mission to ensure that the national Serbian minority is respected and valued on the land of their ancestors. This seems to us to be a good beginning for the re-establishment of the rule of law.;0.7;Advocates the principle of rule of law and respect for the Serbian minority in Kosovo, explicitly stating how the society should be structured.;DEM
I followed the troubles in Kosovo at close quarters at the end of the 1980s. I saw Slovenia and Croatia become independent states and experience war at the beginning of the 1990s. I know that it is extremely easy to start a war, but I also know that it is a lot harder to establish peace and restore people’s trust in one another. Kosovo is currently in a situation that will be decisive for the future generations of that region precisely with regard to this matter of restoring trust between different ethnic groups. I am pleased that Mr Lagendijk has been so clear in his resolution about the fact that we should put discussions about Kosovo’s independence and the conflicts surrounding that behind us. Our time and energy should now be put into discussions on how we are to strengthen the equal rights of all people to live in peace, to work to create a better future for Kosovo. We need to concentrate on the effective protection of minorities and on improving the economic situation and combating the widespread corruption and organised crime. Everyone in Kosovo should make it a personal task to help to stop the violence between ethnic groups. Some of the Members of this Parliament regret the EU’s presence and involvement in Kosovo, but those of us who experienced the wars in the Balkans regret the fact that the EU did not involve itself both more clearly and more extensively. There is an enormous amount of work still to be done and it will take time, but ultimately it is about restoring trust between people so that subsequent generations will have the chance to be educated and to live and work together, in peace, with respect for each other’s differences.;0.8;Calls for peace, equal rights, minority protection, anti‑corruption and stronger EU involvement – clear political principles about governance and integration.;EPP-ED
Despite a difficult domestic situation the Serbian Government has adopted a very constructive and responsible approach to the deployment of the EULEX mission in Kosovo. In an agreement with the UN it has also facilitated the appointment of a senior police official of Serbian nationality to the police force in Kosovo. I firmly believe that this is the way to achieve the gradual inclusion of Kosovo Serbs and also other minorities in the political, economic and social life of Kosovo. In this context I would also like to invite the High Representative of the European Union to ensure that the Kosovo authorities devote sufficient attention to multilateral development in the Mitrovica area.;0.7;Supports inclusion of Kosovo Serbs, multilateral development and EULEX’s role, expressing a stable commitment to minority integration and EU cooperation.;PES
I thank him particularly for accepting paragraph 26, to which I wish to draw the Minister’s and the Commission’s attention.;0.1;"Only thanks for a procedural point; no explicit political principle or ideological stance is expressed.";ALDE
Kosovo’s successes over the past year have reinforced our hopes that multiethnic and multicultural coexistence is possible in Kosovo. The European aspirations of not only Kosovo, but also of the entire Western Balkans, can only become a reality if this prerequisite is met. I welcome, in particular, the fact that the efforts of EULEX are also helping the situation in Kosovo to normalise. I welcome the recent establishment of Kosovan security forces and the participation of a section of the Serbian community in Kosovo’s police force. We need to support projects which strengthen interethnic coexistence and cooperation.;0.7;Promotes multi‑ethnic coexistence and EU‑driven normalization, linking Kosovo’s future to European aspirations.;EPP-ED
Indeed, all along we have argued that a resolved Kosovo helps Serbia’s EU aspirations, and today we repeat that we want them to succeed. Yesterday, the EU Justice Mission opened its first war crimes trial in Kosovo. Today, Her Royal Highness Princess Anne of Britain is visiting a school for disabled children in Gjilan, Kosovo.;0.5;Mentions Serbia’s EU aspirations and a war‑crimes trial, showing a general supportive stance toward EU integration but without a distinct policy prescription.;PES
Corruption and crime undermine the state. A second responsibility lies, to my mind, with the neighbouring countries, particularly the Serb authorities. A constructive dialogue and regional cooperation are in everybody’s interest in that region.;0.5;Condemns corruption and calls for regional dialogue, reflecting a stance on good governance and cooperation, though without detailed policy detail.;EPP-ED
A declaration of self-determination does not lead to independence if the state in question is not recognised by those from which it wants to self-determine. Moreover, a state is not independent if it is not able to offer to all communities living on its territory a fair prospect of organic integration into a civic and multicultural society, and if it is not self-sustainable and self-governable. To this end, the European Union and the permanent members of the United Nations Security Council must convene an international conference which should find a sustainable solution for democratic security, geo-strategic equilibrium and social economic stability in the Western Balkans. Within this framework Kosovo should be put back on the track of international legality, and the region should receive a clear road map for its EU integration. Therefore, Romanian Social Democrats will be obliged to vote against this report.;0.9;Calls for an international conference, EU integration roadmap, and votes against a report, displaying a strong, explicit foreign‑policy and integration position.;PES
There are five EU Member States which have not recognised the act of unilateral independence declared by Kosovo. Stability in the Western Balkans, the region with the most chance of joining the EU in the near future, is essential. This is why the EU must play the main role in managing the delicate situation in the area. The financial instruments which the EU has, in particular the pre-accession assistance instrument, must be used to facilitate social and economic development, increase transparency and promote reconciliation between ethnic communities. Kosovo must not be isolated from the European processes in any way. We need to apply the same standards in every region. Whatever is being asked of other countries in the region must also be applied to Serbia and Kosovo. The European Union must insist on a resumption of dialogue between Priština and Belgrade. I feel that the resolution as it currently stands does not reflect the whole gamut of positions on Kosovo from the European Union’s 27 Member States. This is why the Romanian delegation from the PPE-DE Group, apart from the MEPs of Hungarian origin, is going to vote against this resolution.;0.9;Advocates a leading EU role, pre‑accession assistance, equal standards, and dialogue, with explicit voting intent – a clear, strong ideological commitment to EU integration and rule‑based governance.;EPP-ED
Instead of granting autonomy to Kosovo, it has had to accept Kosovo’s independence. Kosovo stands as a warning to EU Member States as well. Every Member State must ensure that the traditional ethnic minorities within its territory can live in security and feel at home. I hope that I was able to ascertain as well that the cultural and territorial autonomy of the Serb minority is being recognised within Kosovo’s territory. The Kosovo Albanians were given the opportunity for a European-style solution. EU Member States can also make efforts to grant cultural or territorial autonomy to the ethnic minorities living within their territories. It would be embarrassing if certain EU Member States were to lag behind Kosovo and Serbia in this respect.;0.8;Pushes for cultural/territorial autonomy for minorities and EU‑style solutions, linking minority rights to broader European norms.;EPP-ED
I expected this report to tell us that the model which the EU intends to build in Kosovo, with European taxpayers’ money, as it happens, is truly multiethnic, multicultural and multi-denominational, and not based on segregation. In our discussions with MPs from Kosovo, they told us that this kind of model cannot be implemented for the time being.;0.6;Advocates a multi‑ethnic, multicultural EU model for Kosovo and opposes segregation, expressing a clear stance on minority integration and EU‑funded state‑building.;PES
I would like to ask the Commission to bring its influence to bear to ensure that the CEFTA agreement is actually implemented by all the signatory States.;0.6;Calls on the European Commission to enforce the CEFTA trade agreement across all signatories, reflecting a firm position on regional economic integration.;EFA
I would like to highlight that the 1 900-strong international contingent includes 200 military and ordinary police from Romania. Romania is therefore participating in EULEX because it is Bucharest's duty to support its partners in the European Union, even though it does not always agree with the decisions made by a majority of them. A negotiated solution between Belgrade and Priština, possibly of a confederative nature, would have been preferable to the current situation. However, in the given circumstances, what is important is that the European Union successfully completes the mission. Kosovo must not become a European Union protectorate, but needs help to run its own affairs. This aspect is important for both Kosovo and the European Union, especially in the current economic crisis and with the limited resources we have.;0.8;Insists that Kosovo should not become an EU protectorate but retain self‑governance, supporting limited EU intervention and respect for sovereignty amid economic constraints.;EPP-ED
Romania is right when it expresses the view that the legal basis for Kosovo’s unilateral declaration of independence is highly dubious as, under international law, minorities do not have collective rights and do not enjoy the right to self-determination and secession either. Kosovo’s secession and its recognition as a state by other countries have set a dangerous precedent, which has been followed, just a few months later, by Russia’s unilateral recognition of the independence of the separatist regions of South Ossetia and Abkhazia. In both these cases, President Putin clearly referred to the Kosovo model. Separatist movements in regions such as Kashmir, Nagorno-Karabah, Transnistria, Crimea, Northern Cyprus and so on have immediately stated that these regions are just as entitled to independence as Kosovo. I feel that in the future the European Union and its Member States will have to consistently support the principle of territorial integrity for all states and actively discourage separatist tendencies. The European Union must make special efforts to maintain stability in the entire region of the Western Balkans and give substance to their European perspectives.;0.9;Strongly defends the principle of territorial integrity, condemns Kosovo’s secession as a dangerous precedent, and urges the EU to consistently oppose separatist movements.;EPP-ED
Even if a majority of Member States are in favour of its independence or have recognised its independence there are five Member States which have not done so – not to mention the UN Security Council. If we want the resolution to influence the foreign policy of the European Union then it must have a unifying effect. If we show that our common foreign policy has been forced through by majority, whether in the Council or in the European Parliament, then it will be counterproductive for the unity of the Union.;0.5;Emphasises the need for a unified EU foreign‑policy decision on Kosovo’s status, highlighting the value of Union cohesion over majority‑driven outcomes.;PES
Kosovo’s declaration of independence has also exposed a schism amongst Member States. There is no way Kosovo can be part of the European Union or the United Nations while some Member States do not recognise its sovereignty. The precedent of Kosovo also provoked Russia’s indignation and recognition of the Georgian regions of Abkhazia and South Ossetia as states last summer. We need to see real reform in Kosovo, genuine efforts to combat organised crime and people-trafficking, and proper protection and equality for minorities, such as the Serbs. The Commission and the Council must remain vigilant and insistent on tangible progress.;0.6;Demands concrete reforms in Kosovo, a fight against organized crime and trafficking, and protection of minority rights, showing clear policy preferences.;EPP-ED
We have established that in Kosovo – the third state that receives the most aid from the European Union – there are extremely worrying cases of corruption with grave consequences for the certainty of our budget and the financial interests of the Community. We await an explanation. There is currently no one representing our interests on this matter.;0.3;Points out corruption in EU aid to Kosovo and calls for accountability, but lacks a broader ideological principle beyond fiscal oversight.;EPP-ED
The vote will take place on Thursday, 5 February 2009.;0.0;Provides only a factual statement about a voting date, with no political principle or ideological content.;ALDE
What are our fellow citizens expecting today? The car industry, as you said, employs 12 million people in the European Union and is equal to 10% of GDP. If I did not fear being politically incorrect, I would add that the requirements placed on the car industry and the encouragement not to use vehicles are also contributing to this situation. It is essential, in the first instance, that the banking system lends normally to the car industry, that is to say at normal rates and conditions and at volumes corresponding to the needs of that industry. We must enter tomorrow’s world and speed up the necessary developments with regard to the protection of the environment and the requirements of sustainable development in particular.;0.5;Advocates for favorable banking conditions for the car industry while also stressing environmental sustainability, indicating a mixed economic‑environmental policy stance.;EPP-ED
I have seen one estimate saying that 2 million jobs could potentially be lost in the course of the year in the car industry as a whole, the majority of which would be in the parts sector.;0.2;Mentions a projected job loss in the car sector without offering policy recommendations or ideological judgment.;PES
In my view, the appalling drop in the latest registrations – in some Member States this month they are down 33%, or 20%, and so on – shows that the crisis is not in a technologically obsolete sector, nor is it an internal crisis caused by managerial errors in this or that company. It is a systemic crisis, and as such must be tackled urgently and decisively by the European institutions. However, while this consumption support measure is implemented, which is a medium-term measure, I think we have to say that we need immediate credit support to recommence production, pay for materials and retain employees despite the fall in orders and demand.;0.7;Advocates immediate EU‑level credit support and decisive intervention by European institutions to rescue the car industry, reflecting a clear stance on market regulation and supranational economic policy.;ALDE
I have no doubt that the financial crisis will give rise to significant corrections in the future structure of the car market.;0.1;Only predicts structural changes in the car market without endorsing any political principle or policy direction.;UEN
We would be making a big mistake if, with our economic measures, we were to pursue goals relating to climate protection and energy security as unambitious as those we have laid down in the regulation of CO for cars. It is my belief that we really must aim to make it clear to the carmakers that the future of cars lies in small, efficient and climate-friendly models and that every effort must be made, in connection with incentive measures, to promote such models. However, this is only possible in conjunction with a coordinated plan involving energy policy.;0.8;Calls for climate‑friendly, small efficient cars and coordinated energy policy, showing a strong commitment to environmental regulation and market transformation.;EFA
Labour must then be restored to its central place in Europe, to play its due role as the founder of democracy.;0.75;Calls for labour to be restored to a central role in Europe as the foundation of democracy, expressing a clear pro‑labour, democratic principle.;NGL
